,CASH,GHSEP,FTL,BCRP
224,1.0,1.1193206325510119,0.9935344983673092,0.8706343352484575
225,1.0,1.117292284874774,0.991734090752363,0.8722120325402384
226,1.0,1.1114248030366594,0.9865259801794103,0.8767924707378143
227,1.0,1.0908862654420735,0.968295506223579,0.89299512796863
228,1.0,1.078542653538465,0.9573390350392492,0.9030995592368081
229,1.0,1.0851623566815318,0.9632148343801356,0.8975566620962256
230,1.0,1.0885214747196492,0.966196464089308,0.8947782771337633
231,1.0,1.102312463372526,0.9784376598567415,0.8834419118416003
232,1.0,1.096054874321577,0.9728832812324195,0.8884570201869464
233,1.0,1.085880245546166,0.963852048895489,0.8967045272911578
234,1.0,1.0776620466763873,0.9565573883215017,0.9034909995217139
235,1.0,1.0929592689714953,0.9701355513825471,0.8906661044603996
236,1.0,1.0659461020681398,0.9461580489291637,0.9126794702060681
237,1.0,1.0697817083146837,0.9495626204272348,0.9093953650623491
238,1.0,1.0734456944981412,0.9528148580490894,0.9062806996808795
239,1.0,1.0747750864468886,0.9539948566335286,0.9051583305926827
240,1.0,1.0760129543258332,0.9550936163681184,0.9041158181295285
241,1.0,1.0853728610686,0.9634016828660734,0.8962511918649083
242,1.0,1.098812299722069,0.975330834836942,0.8851535190353836
243,1.0,1.101122587055029,0.977381498515406,0.8832924559920389
244,1.0,1.1013087242056245,0.977546718091558,0.8831431415171381
245,1.0,1.0974317178127024,0.9741053988781189,0.8862521258827326
246,1.0,1.094442577669471,0.9714521699780712,0.8886660635913711
247,1.0,1.0976051753769784,0.9742593637651026,0.8860980958308249
248,1.0,1.0944612154156246,0.9714687132668187,0.8886362188256803
249,1.0,1.1016284159562915,0.9778304837758033,0.8828168860820477
250,1.0,1.0832606358141588,0.961526823598837,0.8975363561257815
251,1.0,1.070415592420391,0.9501252703981605,0.908179125797103
252,1.0,1.0829696926381678,0.961268575805132,0.8975277751994913
253,1.0,1.0778908161005996,0.9567604492631852,0.9017369721787718
254,1.0,1.0736645214513627,0.9530090938344731,0.9052725864388637
255,1.0,1.0738854853097508,0.9532052263899011,0.905086278220999
256,1.0,1.0597247697656103,0.9406358526181308,0.9170211348729168
257,1.0,1.062121284068714,0.9427630533185442,0.9149473376677442
258,1.0,1.0538374382599986,0.9354101230312931,0.9220833237188679
259,1.0,1.0438897262655853,0.9265803071997203,0.9307873410610527
260,1.0,1.0369204844644289,0.9203942493796795,0.9370014859860987
261,1.0,1.025705615302914,0.9104396759771967,0.9471356758551026
262,1.0,1.0332211940752603,0.9171106749287189,0.9401957969335023
263,1.0,1.0230104753850018,0.9080474083662587,0.9494872002172497
264,1.0,1.0251112917535445,0.9099121408286629,0.9475373685197543
265,1.0,1.0468969690786023,0.92924960438649,0.9274002931325438
266,1.0,1.0262107900360413,0.9108880805555272,0.9457252755070589
267,1.0,1.0238282588252678,0.908773291575955,0.9479209452538659
268,1.0,1.0087054571322607,0.8953499483149852,0.961922532288591
269,1.0,1.0163700474608264,0.9007091156723244,0.954613419320998
270,1.0,1.0006151480349164,0.8867470937629531,0.9694110203014414
271,1.0,0.9946196210533563,0.8839832878750681,0.9752195771071017
272,1.0,1.0076665232785675,0.8877271440357116,0.9624271545565438
273,1.0,0.9991721278920683,0.8821197476215811,0.9705401925428021
274,1.0,0.9940591168865124,0.8799846981558237,0.9755066868503144
275,1.0,0.9853771296428352,0.8776323540480049,0.9840266395038267
276,1.0,0.9711406436981975,0.8773544136426703,0.998243613898575
277,1.0,0.9752070197517902,0.8757250257451268,0.9940637518433529
278,1.0,0.9854025664248892,0.8729000773637,0.9836710627303197
279,1.0,0.9783800273573343,0.8727264170353466,0.990681262117303
280,1.0,0.9795923078419649,0.8725097100376915,0.9894537395525793
281,1.0,0.9854423186206147,0.8716723180736532,0.9835448374567294
282,1.0,0.9835620900931786,0.8716215289606901,0.9854214455811261
283,1.0,0.9801040337458778,0.871715030612838,0.9888860391423291
284,1.0,0.9843579386924236,0.8711742814799582,0.9845940180218189
285,1.0,0.9930888666373231,0.8711423572821452,0.9758609961323977
286,1.0,1.0036010073374828,0.8737126054373041,0.9655312175607773
287,1.0,0.9944407203719203,0.868814183761243,0.9743440256007061
288,1.0,0.9879794409546973,0.8669896014093558,0.9806747287471341
289,1.0,0.9935748663058849,0.8675646745381222,0.9751206736619892
290,1.0,0.9900701586904518,0.8666585832421927,0.978560286484903
291,1.0,0.9830303330913102,0.8655218298648176,0.9855182719307524
292,1.0,0.9933866646526289,0.865155527342379,0.9751357296637965
293,1.0,0.9975846186170154,0.866220313396568,0.9710149023490322
294,1.0,0.9900433010174381,0.8634443321311336,0.9783553641357136
295,1.0,0.9920566326137661,0.8637708473384333,0.976365800886443
296,1.0,0.9914451569373794,0.8636378921086473,0.9769676051774705
297,1.0,0.9846067312347249,0.8622655052859242,0.9837061729485806
298,1.0,0.9858025525768642,0.8622801894184386,0.9825114453496386
299,1.0,0.9739854427651854,0.8617421653182461,0.9942891036744538
300,1.0,0.977547928557197,0.8607280585959803,0.990652354448873
301,1.0,0.9751526252436092,0.8611661121137338,0.9930797677732852
302,1.0,0.9787810061543348,0.8602562368300262,0.9893846829438491
303,1.0,0.9709886755953908,0.8614069907922414,0.9972614321352918
304,1.0,0.9619481030236783,0.8647351479471664,1.006546622144254
305,1.0,0.9796088588536825,0.8535888704496823,0.9880670658481513
306,1.0,0.9762726597313275,0.8539730808248137,0.9914320706129093
307,1.0,0.9742832485881532,0.8543846424954793,0.9934523730244912
308,1.0,0.9683427378033203,0.8559418037983202,0.9995097639775231
309,1.0,0.9595244852032824,0.8597231721269221,1.0086118403706745
310,1.0,0.9709168892971556,0.8519488016119178,0.9966366236507007
311,1.0,0.9718210519485181,0.8516332257666321,0.9957085095948583
312,1.0,0.9782405034425415,0.8495548349230426,0.9891312673482603
313,1.0,0.9696151976239155,0.850816642183939,0.9978525988050181
314,1.0,0.9766358580914778,0.8481365067724836,0.9906274807277841
315,1.0,0.9840028590709125,0.8467580339198546,0.9831549375483407
316,1.0,0.9884056127586109,0.8468060793372972,0.9787559777418582
317,1.0,0.9820163208559173,0.8459973099858283,0.9850828920795213
318,1.0,0.9788339846325494,0.8461270629647936,0.9882751658774727
319,1.0,0.9768989005856329,0.846369533367029,0.9902289144572333
320,1.0,0.9743438609087943,0.8468221928160824,0.9928188182475516
321,1.0,0.9595360042459439,0.8504668798396706,1.007907453113972
322,1.0,0.9401637960508403,0.8630941846079252,1.028256239334737
323,1.0,0.946261658261962,0.8574961926081601,1.0215870133009162
324,1.0,0.9470984870721936,0.8567378637598911,1.0206835703289276
325,1.0,0.9511232172830042,0.8530971243860449,1.0163461375730745
326,1.0,0.9356540201284478,0.8666637386528797,1.032876129158202
327,1.0,0.9307466418659756,0.8712092722498381,1.0382934241781583
328,1.0,0.9248703480697208,0.8767096752644378,1.0448487174580356
329,1.0,0.9306937299620299,0.8711895337067385,1.0382699000987698
330,1.0,0.9228373643633306,0.8785436000949642,1.0470343600516359
331,1.0,0.9209619869852808,0.8803289642943029,1.0491621288531043
332,1.0,0.9212603314028269,0.8800437828909476,1.0488222541691956
333,1.0,0.9202164862336356,0.8810409271505016,1.0500106349188567
334,1.0,0.9163632584089251,0.8847301149274047,1.0544073505340494
335,1.0,0.9379783783381539,0.8638611556445994,1.0295360550897439
336,1.0,0.9203707513411623,0.8800774622722656,1.0488623927273057
337,1.0,0.9061189923885952,0.8937052876100703,1.065103819318232
338,1.0,0.896032418148619,0.9036536771720681,1.0769601525771115
